type>question>options>tone>answer
MULTI-SELECT>What algorithms are you familiar with?>Sorting algorithms; Searching algorithms; Graph algorithms; Dynamic programming; Greedy algorithms; Divide and conquer>verbose>Graph algorithms.
MULTI-SELECT>What algorithms are you familiar with?>Sorting algorithms; Searching algorithms; Graph algorithms; Dynamic programming; Greedy algorithms; Divide and conquer>concise>Graph algorithms.
MULTI-SELECT>What algorithms are you familiar with?>Sorting algorithms; Searching algorithms; Graph algorithms; Dynamic programming; Greedy algorithms; Divide and conquer>colloquial>I am familiar with Graph algorithms.
MULTI-SELECT>What algorithms are you familiar with?>Sorting algorithms; Searching algorithms; Graph algorithms; Dynamic programming; Greedy algorithms; Divide and conquer>explanatory>Graph algorithms.
MULTI-SELECT>What algorithms are you familiar with?>Sorting algorithms; Searching algorithms; Graph algorithms; Dynamic programming; Greedy algorithms; Divide and conquer>annoyed>Graph algorithms.
MULTI-SELECT>What are some of the key challenges facing your business?>Competition; Economic conditions; Technology changes; Regulations; Finding and retaining talent>verbose>Competition is one of the key challenges facing your business.
MULTI-SELECT>What types of diversity and inclusion initiatives does your company have?>Diversity training; Employee resource groups; Mentorship programs; Inclusive hiring practices; Accessibility initiatives>concise>Diversity training.
MULTI-SELECT>What types of diversity and inclusion initiatives does your company have?>Diversity training; Employee resource groups; Mentorship programs; Inclusive hiring practices; Accessibility initiatives>colloquial>Diversity training.
MULTI-SELECT>What types of diversity and inclusion initiatives does your company have?>Diversity training; Employee resource groups; Mentorship programs; Inclusive hiring practices; Accessibility initiatives>explanatory>Diversity training.
MULTI-SELECT>What types of diversity and inclusion initiatives does your company have?>Diversity training; Employee resource groups; Mentorship programs; Inclusive hiring practices; Accessibility initiatives>annoyed>Diversity training is a type of diversity and inclusion initiative.
MULTI-SELECT>What types of documentation are you comfortable creating?>User manuals; Technical specifications; API documentation; Design documents; Test plans>verbose>User manuals.
MULTI-SELECT>What types of documentation are you comfortable creating?>User manuals; Technical specifications; API documentation; Design documents; Test plans>concise>User manuals.
MULTI-SELECT>What types of documentation are you comfortable creating?>User manuals; Technical specifications; API documentation; Design documents; Test plans>colloquial>User manuals are my favorite type of documentation.
MULTI-SELECT>What types of documentation are you comfortable creating?>User manuals; Technical specifications; API documentation; Design documents; Test plans>explanatory>User manuals.
MULTI-SELECT>What types of documentation are you comfortable creating?>User manuals; Technical specifications; API documentation; Design documents; Test plans>annoyed>User manuals are the most common type of documentation.
MULTI-SELECT>What types of employee benefits does your company offer?>Health insurance; Retirement plan; Paid time off; Tuition reimbursement; Child care assistance>verbose>Health insurance is the type of employee benefits that your company offers.
MULTI-SELECT>What types of employee benefits does your company offer?>Health insurance; Retirement plan; Paid time off; Tuition reimbursement; Child care assistance>concise>Health insurance is the type of employee benefits that your company offers.
MULTI-SELECT>What types of employee benefits does your company offer?>Health insurance; Retirement plan; Paid time off; Tuition reimbursement; Child care assistance>colloquial>Health insurance is a type of employee benefit.
MULTI-SELECT>What types of employee benefits does your company offer?>Health insurance; Retirement plan; Paid time off; Tuition reimbursement; Child care assistance>explanatory>Health insurance is a type of employee benefit.
MULTI-SELECT>What types of employee benefits does your company offer?>Health insurance; Retirement plan; Paid time off; Tuition reimbursement; Child care assistance>annoyed>Health insurance is the most common type of employee benefits.
MULTI-SELECT>What types of events do you typically attend?>Conferences; Trade shows; Seminars; Workshops; Networking events>verbose>I typically attend networking events.
MULTI-SELECT>What types of events do you typically attend?>Conferences; Trade shows; Seminars; Workshops; Networking events>concise>I typically attend networking events.
MULTI-SELECT>What types of events do you typically attend?>Conferences; Trade shows; Seminars; Workshops; Networking events>colloquial>I typically attend networking events.
MULTI-SELECT>What types of events do you typically attend?>Conferences; Trade shows; Seminars; Workshops; Networking events>explanatory>I typically attend networking events.
MULTI-SELECT>What types of events do you typically attend?>Conferences; Trade shows; Seminars; Workshops; Networking events>annoyed>I typically attend networking events.
MULTI-SELECT>What types of heavy machinery do you utilize?>Bulldozers; Excavator; Cranes; Forklifts; Heavy-duty trucks>verbose>Forklifts.
MULTI-SELECT>What types of heavy machinery do you utilize?>Bulldozers; Excavator; Cranes; Forklifts; Heavy-duty trucks>concise>Forklifts.
MULTI-SELECT>What types of heavy machinery do you utilize?>Bulldozers; Excavator; Cranes; Forklifts; Heavy-duty trucks>colloquial>Forklifts.
MULTI-SELECT>What types of heavy machinery do you utilize?>Bulldozers; Excavator; Cranes; Forklifts; Heavy-duty trucks>explanatory>Forklifts are heavy machinery. Forklifts are a type of heavy machinery. Heavy-duty trucks are a type of heavy machinery.
MULTI-SELECT>What types of heavy machinery do you utilize?>Bulldozers; Excavator; Cranes; Forklifts; Heavy-duty trucks>annoyed>Forklifts.
MULTI-SELECT>What types of industrial automation systems do you use?>Programmable Logic Controllers (PLCs); Supervisory Control and Data Acquisition (SCADA); Distributed Control Systems (DCS); Human-Machine Interfaces (HMIs); Industrial Ethernet>verbose>I use programmable Logic Controllers (PLCs); Supervisory Control and Data Acquisition (SCADA); Distributed Control Systems (DCS); Human-Machine Interfaces (HMIs); Industrial Ethernet.
MULTI-SELECT>What types of industrial automation systems do you use?>Programmable Logic Controllers (PLCs); Supervisory Control and Data Acquisition (SCADA); Distributed Control Systems (DCS); Human-Machine Interfaces (HMIs); Industrial Ethernet>concise>Industrial Ethernet.
MULTI-SELECT>What types of industrial automation systems do you use?>Programmable Logic Controllers (PLCs); Supervisory Control and Data Acquisition (SCADA); Distributed Control Systems (DCS); Human-Machine Interfaces (HMIs); Industrial Ethernet>colloquial>Industrial Ethernet is a type of industrial automation system.
MULTI-SELECT>What types of industrial automation systems do you use?>Programmable Logic Controllers (PLCs); Supervisory Control and Data Acquisition (SCADA); Distributed Control Systems (DCS); Human-Machine Interfaces (HMIs); Industrial Ethernet>explanatory>Industrial Ethernet.
MULTI-SELECT>What types of industrial automation systems do you use?>Programmable Logic Controllers (PLCs); Supervisory Control and Data Acquisition (SCADA); Distributed Control Systems (DCS); Human-Machine Interfaces (HMIs); Industrial Ethernet>annoyed>I use Distributed Control Systems (DCS).
MULTI-SELECT>What types of industrial robots are used in your operations?>Articulated robots; Cartesian robots; SCARA robots; Delta robots; Collaborative robots (cobots)>verbose>Articulated robots are used in your operations. Delta robots are used in your operations.
MULTI-SELECT>What types of industrial robots are used in your operations?>Articulated robots; Cartesian robots; SCARA robots; Delta robots; Collaborative robots (cobots)>concise>Collaborative robots (cobots) are used in your operations.
MULTI-SELECT>What types of industrial robots are used in your operations?>Articulated robots; Cartesian robots; SCARA robots; Delta robots; Collaborative robots (cobots)>colloquial>Articulated robots are used in your operations. Delta robots are used in your operations. Collaborative robots (cobots) are used in your operations.
MULTI-SELECT>What types of industrial robots are used in your operations?>Articulated robots; Cartesian robots; SCARA robots; Delta robots; Collaborative robots (cobots)>explanatory>Articulated robots are used in your operations. Delta robots are used in your operations.
MULTI-SELECT>What types of industrial robots are used in your operations?>Articulated robots; Cartesian robots; SCARA robots; Delta robots; Collaborative robots (cobots)>annoyed>Articulated robots are used in your operations. Delta robots are used in your operations. Collaborative robots (cobots) are used in your operations.
MULTI-SELECT>What types of information are most important to include in your sales proposals?>Product features and benefits; Pricing and payment terms; Case studies and testimonials; Client success stories; Service level agreements (SLAs)>verbose>Case studies and testimonials are the most important information to include in your sales proposals.
MULTI-SELECT>What types of information are most important to include in your sales proposals?>Product features and benefits; Pricing and payment terms; Case studies and testimonials; Client success stories; Service level agreements (SLAs)>concise>Case studies and testimonials are the most important information to include in your sales proposals.
MULTI-SELECT>What types of information are most important to include in your sales proposals?>Product features and benefits; Pricing and payment terms; Case studies and testimonials; Client success stories; Service level agreements (SLAs)>colloquial>Case studies and testimonials are the most important information to include in your sales proposals.
MULTI-SELECT>What types of information are most important to include in your sales proposals?>Product features and benefits; Pricing and payment terms; Case studies and testimonials; Client success stories; Service level agreements (SLAs)>explanatory>Case studies and testimonials are the most important types of information to include in your sales proposals.
MULTI-SELECT>What types of information are most important to include in your sales proposals?>Product features and benefits; Pricing and payment terms; Case studies and testimonials; Client success stories; Service level agreements (SLAs)>annoyed>Case studies and testimonials are the most important information to include in your sales proposals.
MULTI-SELECT>What types of maintenance strategies do you employ?>Preventive maintenance; Predictive maintenance; Corrective maintenance; Condition-based maintenance; Total productive maintenance (TPM)>verbose>Preventive maintenance.
MULTI-SELECT>What types of maintenance strategies do you employ?>Preventive maintenance; Predictive maintenance; Corrective maintenance; Condition-based maintenance; Total productive maintenance (TPM)>concise>Preventive maintenance.
MULTI-SELECT>What types of maintenance strategies do you employ?>Preventive maintenance; Predictive maintenance; Corrective maintenance; Condition-based maintenance; Total productive maintenance (TPM)>colloquial>Preventive maintenance.
MULTI-SELECT>What types of maintenance strategies do you employ?>Preventive maintenance; Predictive maintenance; Corrective maintenance; Condition-based maintenance; Total productive maintenance (TPM)>explanatory>Preventive maintenance.
MULTI-SELECT>What types of maintenance strategies do you employ?>Preventive maintenance; Predictive maintenance; Corrective maintenance; Condition-based maintenance; Total productive maintenance (TPM)>annoyed>Preventive maintenance.
MULTI-SELECT>What types of marketing channels does your company use?>Digital marketing; Social media marketing; Email marketing; Content marketing; Traditional marketing>verbose>Digital marketing is the most popular marketing channel. Traditional marketing is the most popular marketing channel.
MULTI-SELECT>What types of marketing channels does your company use?>Digital marketing; Social media marketing; Email marketing; Content marketing; Traditional marketing>concise>Traditional marketing.
MULTI-SELECT>What types of marketing channels does your company use?>Digital marketing; Social media marketing; Email marketing; Content marketing; Traditional marketing>colloquial>Digital marketing is the most popular type of marketing channel. Traditional marketing is the most popular type of marketing channel.
MULTI-SELECT>What types of marketing channels does your company use?>Digital marketing; Social media marketing; Email marketing; Content marketing; Traditional marketing>explanatory>Digital marketing is the most popular type of marketing channel. Traditional marketing is the most popular type of marketing channel.
MULTI-SELECT>What types of marketing channels does your company use?>Digital marketing; Social media marketing; Email marketing; Content marketing; Traditional marketing>annoyed>Email marketing is the most popular type of marketing channel.
MULTI-SELECT>What types of marketing content do you find most effective?>Blog posts; Videos; Infographics; Case studies; Email newsletters; Social media posts>verbose>I find Infographics to be the most effective type of marketing content.
MULTI-SELECT>What types of marketing content do you find most effective?>Blog posts; Videos; Infographics; Case studies; Email newsletters; Social media posts>concise>I find Infographics to be the most effective type of marketing content.
MULTI-SELECT>What types of marketing content do you find most effective?>Blog posts; Videos; Infographics; Case studies; Email newsletters; Social media posts>colloquial>I find Infographics to be the most effective type of marketing content.
MULTI-SELECT>What types of marketing content do you find most effective?>Blog posts; Videos; Infographics; Case studies; Email newsletters; Social media posts>explanatory>I find Infographics to be the most effective type of marketing content.
MULTI-SELECT>What types of marketing content do you find most effective?>Blog posts; Videos; Infographics; Case studies; Email newsletters; Social media posts>annoyed>I find Infographics to be the most effective type of marketing content.
MULTI-SELECT>What types of projects are you interested in?>Web development; Mobile app development; Data science; Machine learning; Artificial intelligence; Game development; Software engineering>verbose>Software engineering.
MULTI-SELECT>What types of projects are you interested in?>Web development; Mobile app development; Data science; Machine learning; Artificial intelligence; Game development; Software engineering>concise>I am interested in Software Engineering.
MULTI-SELECT>What types of projects are you interested in?>Web development; Mobile app development; Data science; Machine learning; Artificial intelligence; Game development; Software engineering>colloquial>I am interested in Software Engineering.
MULTI-SELECT>What types of projects are you interested in?>Web development; Mobile app development; Data science; Machine learning; Artificial intelligence; Game development; Software engineering>explanatory>Software engineering.
MULTI-SELECT>What types of projects are you interested in?>Web development; Mobile app development; Data science; Machine learning; Artificial intelligence; Game development; Software engineering>annoyed>I am interested in Software engineering.
MULTI-SELECT>What types of quality certifications do you hold?>ISO 9001; ISO 14001; OHSAS 18001; ISO 27001; Industry-specific certifications>verbose>ISO 9001.
MULTI-SELECT>What types of quality certifications do you hold?>ISO 9001; ISO 14001; OHSAS 18001; ISO 27001; Industry-specific certifications>concise>ISO 9001.
MULTI-SELECT>What types of quality certifications do you hold?>ISO 9001; ISO 14001; OHSAS 18001; ISO 27001; Industry-specific certifications>colloquial>ISO 9001.
MULTI-SELECT>What types of quality certifications do you hold?>ISO 9001; ISO 14001; OHSAS 18001; ISO 27001; Industry-specific certifications>explanatory>ISO 9001.
MULTI-SELECT>What types of quality certifications do you hold?>ISO 9001; ISO 14001; OHSAS 18001; ISO 27001; Industry-specific certifications>annoyed>ISO 9001.
MULTI-SELECT>What types of quality control measures do you employ?>Regular inspections; Testing; Statistical process control (SPC); ISO 9001 certification; Six Sigma methodology>verbose>Regular inspections.
MULTI-SELECT>What types of quality control measures do you employ?>Regular inspections; Testing; Statistical process control (SPC); ISO 9001 certification; Six Sigma methodology>concise>Regular inspections are the most common type of quality control measures.
MULTI-SELECT>What types of quality control measures do you employ?>Regular inspections; Testing; Statistical process control (SPC); ISO 9001 certification; Six Sigma methodology>colloquial>Regular inspections are the most common type of quality control measures.
MULTI-SELECT>What types of quality control measures do you employ?>Regular inspections; Testing; Statistical process control (SPC); ISO 9001 certification; Six Sigma methodology>explanatory>Regular inspections are the most common type of quality control measures.
MULTI-SELECT>What types of quality control measures do you employ?>Regular inspections; Testing; Statistical process control (SPC); ISO 9001 certification; Six Sigma methodology>annoyed>Regular inspections.
MULTI-SELECT>What types of research and development activities are you undertaking?>Process improvement; New product development; Sustainability initiatives; Automation technology; Materials science>verbose>I am undertaking New product development.
MULTI-SELECT>What types of research and development activities are you undertaking?>Process improvement; New product development; Sustainability initiatives; Automation technology; Materials science>concise>I am undertaking new product development.
MULTI-SELECT>What types of research and development activities are you undertaking?>Process improvement; New product development; Sustainability initiatives; Automation technology; Materials science>colloquial>I am undertaking new product development.
MULTI-SELECT>What types of research and development activities are you undertaking?>Process improvement; New product development; Sustainability initiatives; Automation technology; Materials science>explanatory>New product development.
MULTI-SELECT>What types of research and development activities are you undertaking?>Process improvement; New product development; Sustainability initiatives; Automation technology; Materials science>annoyed>I am undertaking new product development.
MULTI-SELECT>What types of research and development activities does your company undertake?>Basic research; Applied research; Development; Innovation; Technology transfer>verbose>Applied research.
MULTI-SELECT>What types of research and development activities does your company undertake?>Basic research; Applied research; Development; Innovation; Technology transfer>concise>Applied research.
MULTI-SELECT>What types of research and development activities does your company undertake?>Basic research; Applied research; Development; Innovation; Technology transfer>colloquial>Applied research.
MULTI-SELECT>What types of research and development activities does your company undertake?>Basic research; Applied research; Development; Innovation; Technology transfer>explanatory>Applied research.
MULTI-SELECT>What types of research and development activities does your company undertake?>Basic research; Applied research; Development; Innovation; Technology transfer>annoyed>Applied research.
MULTI-SELECT>What types of sales reports are most valuable to your team?>Sales pipeline reports; Lead conversion reports; Sales forecast reports; Sales performance reports; Customer segmentation reports>verbose>Sales performance reports are the most valuable reports to your team.
MULTI-SELECT>What types of sales reports are most valuable to your team?>Sales pipeline reports; Lead conversion reports; Sales forecast reports; Sales performance reports; Customer segmentation reports>concise>Sales performance reports.
MULTI-SELECT>What types of sales reports are most valuable to your team?>Sales pipeline reports; Lead conversion reports; Sales forecast reports; Sales performance reports; Customer segmentation reports>colloquial>Sales performance reports are the most valuable reports to your team.
MULTI-SELECT>What types of sales reports are most valuable to your team?>Sales pipeline reports; Lead conversion reports; Sales forecast reports; Sales performance reports; Customer segmentation reports>explanatory>Sales performance reports are the most valuable reports to your team.
MULTI-SELECT>What types of sales reports are most valuable to your team?>Sales pipeline reports; Lead conversion reports; Sales forecast reports; Sales performance reports; Customer segmentation reports>annoyed>Sales pipeline reports are the most valuable reports to your team.
MULTI-SELECT>What types of sales tools and technologies does your team currently use?>CRM software; Sales automation tools; Sales intelligence platforms; Proposal software; Communication and collaboration tools>verbose>CRM software is the most commonly used tool for sales automation.
MULTI-SELECT>What types of sales tools and technologies does your team currently use?>CRM software; Sales automation tools; Sales intelligence platforms; Proposal software; Communication and collaboration tools>concise>CRM software is the most common sales tool.
MULTI-SELECT>What types of sales tools and technologies does your team currently use?>CRM software; Sales automation tools; Sales intelligence platforms; Proposal software; Communication and collaboration tools>colloquial>CRM software is the most common sales tool. Proposal software is the most common sales tool.
MULTI-SELECT>What types of sales tools and technologies does your team currently use?>CRM software; Sales automation tools; Sales intelligence platforms; Proposal software; Communication and collaboration tools>explanatory>CRM software is the most commonly used sales tools and technologies.
MULTI-SELECT>What types of sales tools and technologies does your team currently use?>CRM software; Sales automation tools; Sales intelligence platforms; Proposal software; Communication and collaboration tools>annoyed>CRM software is the most common sales automation tool.
MULTI-SELECT>What types of sales training do your sales reps need?>Product knowledge training; Sales techniques training; Customer relationship management (CRM) training; Negotiation skills training; Closing skills training>verbose>Sales techniques training.
MULTI-SELECT>What types of sales training do your sales reps need?>Product knowledge training; Sales techniques training; Customer relationship management (CRM) training; Negotiation skills training; Closing skills training>concise>Sales techniques training.
MULTI-SELECT>What types of sales training do your sales reps need?>Product knowledge training; Sales techniques training; Customer relationship management (CRM) training; Negotiation skills training; Closing skills training>colloquial>Sales techniques training is a type of sales training. Closing skills training is a type of sales training.
MULTI-SELECT>What types of sales training do your sales reps need?>Product knowledge training; Sales techniques training; Customer relationship management (CRM) training; Negotiation skills training; Closing skills training>explanatory>Sales techniques training.
MULTI-SELECT>What types of sales training do your sales reps need?>Product knowledge training; Sales techniques training; Customer relationship management (CRM) training; Negotiation skills training; Closing skills training>annoyed>Sales techniques training.
MULTI-SELECT>What types of software architectures are you familiar with?>Microservices; Monolithic; Layered; Event-driven>verbose>Microservices.
MULTI-SELECT>What types of software architectures are you familiar with?>Microservices; Monolithic; Layered; Event-driven>concise>Microservices.
MULTI-SELECT>What types of software architectures are you familiar with?>Microservices; Monolithic; Layered; Event-driven>colloquial>Microservices is a type of software architecture.
MULTI-SELECT>What types of software architectures are you familiar with?>Microservices; Monolithic; Layered; Event-driven>explanatory>Microservices is the type of software architecture that I am familiar with.
MULTI-SELECT>What types of software architectures are you familiar with?>Microservices; Monolithic; Layered; Event-driven>annoyed>Microservices is a type of software architecture that I am familiar with.
MULTI-SELECT>What types of software development environments have you worked in?>Agile; Waterfall; DevOps; Continuous integration/continuous delivery (CI/CD)>verbose>I've worked in Agile, DevOps, and Continuous integration/continuous delivery (CI/CD).
MULTI-SELECT>What types of software development environments have you worked in?>Agile; Waterfall; DevOps; Continuous integration/continuous delivery (CI/CD)>concise>I have worked in Agile, DevOps, and Continuous integration/continuous delivery (CI/CD).
MULTI-SELECT>What types of software development environments have you worked in?>Agile; Waterfall; DevOps; Continuous integration/continuous delivery (CI/CD)>colloquial>I've worked in Agile, DevOps, and CI/CD.
MULTI-SELECT>What types of software development environments have you worked in?>Agile; Waterfall; DevOps; Continuous integration/continuous delivery (CI/CD)>explanatory>I have worked in Agile, DevOps, and Continuous integration/continuous delivery (CI/CD).
MULTI-SELECT>What types of software development environments have you worked in?>Agile; Waterfall; DevOps; Continuous integration/continuous delivery (CI/CD)>annoyed>I've worked in Agile, DevOps, and CI/CD.
MULTI-SELECT>What types of software development methodologies have you experienced?>Agile; Waterfall; Lean; Kanban; Scrum>verbose>I've experienced Agile, Waterfall, Lean, and Scrum.
MULTI-SELECT>What types of software development methodologies have you experienced?>Agile; Waterfall; Lean; Kanban; Scrum>concise>Agile.
MULTI-SELECT>What types of software development methodologies have you experienced?>Agile; Waterfall; Lean; Kanban; Scrum>colloquial>I have experienced Agile, Waterfall, Lean, and Scrum.
MULTI-SELECT>What types of software development methodologies have you experienced?>Agile; Waterfall; Lean; Kanban; Scrum>explanatory>I have experienced Agile, Waterfall, Lean, Kanban, and Scrum.
MULTI-SELECT>What types of software development methodologies have you experienced?>Agile; Waterfall; Lean; Kanban; Scrum>annoyed>I have experienced Agile, Waterfall, Lean, Kanban, and Scrum.
MULTI-SELECT>What types of software development projects have you worked on?>Web applications; Mobile applications; Desktop applications; Embedded systems; Data science projects>verbose>I have worked on Web applications, Mobile applications, Embedded systems, and Data science projects.
MULTI-SELECT>What types of software development projects have you worked on?>Web applications; Mobile applications; Desktop applications; Embedded systems; Data science projects>concise>I have worked on Embedded systems.
MULTI-SELECT>What types of software development projects have you worked on?>Web applications; Mobile applications; Desktop applications; Embedded systems; Data science projects>colloquial>I have worked on Embedded systems.
MULTI-SELECT>What types of software development projects have you worked on?>Web applications; Mobile applications; Desktop applications; Embedded systems; Data science projects>explanatory>I have worked on Web applications, Mobile applications, Embedded systems, and Data science projects.
MULTI-SELECT>What types of software development projects have you worked on?>Web applications; Mobile applications; Desktop applications; Embedded systems; Data science projects>annoyed>I have worked on Embedded systems.
MULTI-SELECT>What types of software development tools have you used?>Integrated Development Environments (IDEs); Source code management tools; Build tools; Testing frameworks; Debugging tools>verbose>I have used Integrated Development Environments (IDEs).
MULTI-SELECT>What types of software development tools have you used?>Integrated Development Environments (IDEs); Source code management tools; Build tools; Testing frameworks; Debugging tools>concise>I have used Integrated Development Environments (IDEs).
MULTI-SELECT>What types of software development tools have you used?>Integrated Development Environments (IDEs); Source code management tools; Build tools; Testing frameworks; Debugging tools>colloquial>I have used Integrated Development Environments (IDEs).
MULTI-SELECT>What types of software development tools have you used?>Integrated Development Environments (IDEs); Source code management tools; Build tools; Testing frameworks; Debugging tools>explanatory>I have used Integrated Development Environments (IDEs).
MULTI-SELECT>What types of software development tools have you used?>Integrated Development Environments (IDEs); Source code management tools; Build tools; Testing frameworks; Debugging tools>annoyed>I have used Integrated Development Environments (IDEs).
MULTI-SELECT>What types of software do you use for production planning and scheduling?>SAP PP; Oracle Production Planning; Microsoft Dynamics 365 for Finance and Operations; Infor LN; Epicor ERP>verbose>Microsoft Dynamics 365 for Finance and Operations.
MULTI-SELECT>What types of software do you use for production planning and scheduling?>SAP PP; Oracle Production Planning; Microsoft Dynamics 365 for Finance and Operations; Infor LN; Epicor ERP>concise>Microsoft Dynamics 365 for Finance and Operations.
MULTI-SELECT>What types of software do you use for production planning and scheduling?>SAP PP; Oracle Production Planning; Microsoft Dynamics 365 for Finance and Operations; Infor LN; Epicor ERP>colloquial>Microsoft Dynamics 365 for Finance and Operations.
MULTI-SELECT>What types of software do you use for production planning and scheduling?>SAP PP; Oracle Production Planning; Microsoft Dynamics 365 for Finance and Operations; Infor LN; Epicor ERP>explanatory>Microsoft Dynamics 365 for Finance and Operations.
MULTI-SELECT>What types of software do you use for production planning and scheduling?>SAP PP; Oracle Production Planning; Microsoft Dynamics 365 for Finance and Operations; Infor LN; Epicor ERP>annoyed>Microsoft Dynamics 365 for Finance and Operations.
MULTI-SELECT>What types of software licenses are you familiar with?>GPL; MIT; Apache 2.0; BSD; Proprietary>verbose>GPL is a type of software license.
MULTI-SELECT>What types of software licenses are you familiar with?>GPL; MIT; Apache 2.0; BSD; Proprietary>concise>GPL is a type of software license.
MULTI-SELECT>What types of software licenses are you familiar with?>GPL; MIT; Apache 2.0; BSD; Proprietary>colloquial>GPL is a software license. Apache 2.0 is a software license.
MULTI-SELECT>What types of software licenses are you familiar with?>GPL; MIT; Apache 2.0; BSD; Proprietary>explanatory>GPL is the most common license.
MULTI-SELECT>What types of software licenses are you familiar with?>GPL; MIT; Apache 2.0; BSD; Proprietary>annoyed>GPL is the most common type of software license.
MULTI-SELECT>What types of technology does your company use?>Cloud computing; Big data analytics; Artificial intelligence; Machine learning; Internet of Things (IoT)>verbose>Cloud computing is a type of technology. Machine learning is a type of technology. IoT is a type of technology.
MULTI-SELECT>What types of technology does your company use?>Cloud computing; Big data analytics; Artificial intelligence; Machine learning; Internet of Things (IoT)>concise>IoT.
MULTI-SELECT>What types of technology does your company use?>Cloud computing; Big data analytics; Artificial intelligence; Machine learning; Internet of Things (IoT)>colloquial>Cloud computing is the most popular type of technology. Machine learning is the most popular type of technology.
MULTI-SELECT>What types of technology does your company use?>Cloud computing; Big data analytics; Artificial intelligence; Machine learning; Internet of Things (IoT)>explanatory>IoT.
MULTI-SELECT>What types of technology does your company use?>Cloud computing; Big data analytics; Artificial intelligence; Machine learning; Internet of Things (IoT)>annoyed>Cloud computing is the most popular type of technology. Artificial intelligence is the most popular type of technology. Machine learning is the most popular type of technology.
MULTI-SELECT>What types of testing frameworks have you used?>JUnit; Pytest; Jest; Mocha>verbose>Jest is a testing framework.
MULTI-SELECT>What types of testing frameworks have you used?>JUnit; Pytest; Jest; Mocha>concise>Jest is a testing framework.
MULTI-SELECT>What types of testing frameworks have you used?>JUnit; Pytest; Jest; Mocha>colloquial>JUnit is the most popular testing framework.
MULTI-SELECT>What types of testing frameworks have you used?>JUnit; Pytest; Jest; Mocha>explanatory>JUnit.
MULTI-SELECT>What types of testing frameworks have you used?>JUnit; Pytest; Jest; Mocha>annoyed>Jest is a testing framework.
MULTI-SELECT>What types of testing have you performed?>Functional testing; Performance testing; Security testing; Usability testing; Regression testing>verbose>Functional testing.
MULTI-SELECT>What types of testing have you performed?>Functional testing; Performance testing; Security testing; Usability testing; Regression testing>concise>I have performed functional testing.
MULTI-SELECT>What types of testing have you performed?>Functional testing; Performance testing; Security testing; Usability testing; Regression testing>colloquial>I have performed functional testing, performance testing, usability testing, and regression testing.
MULTI-SELECT>What types of testing have you performed?>Functional testing; Performance testing; Security testing; Usability testing; Regression testing>explanatory>I have performed functional testing.
MULTI-SELECT>What types of testing have you performed?>Functional testing; Performance testing; Security testing; Usability testing; Regression testing>annoyed>I have performed functional testing, performance testing, usability testing, and regression testing.
MULTI-SELECT>What types of training programs are you interested in?>Technical skills training; Leadership training; Management training; Communication skills training; Sales training>verbose>Communication skills training.
MULTI-SELECT>What types of training programs are you interested in?>Technical skills training; Leadership training; Management training; Communication skills training; Sales training>concise>I am interested in Communication skills training.
MULTI-SELECT>What types of training programs are you interested in?>Technical skills training; Leadership training; Management training; Communication skills training; Sales training>colloquial>Communication skills training is the type of training I am interested in.
MULTI-SELECT>What types of training programs are you interested in?>Technical skills training; Leadership training; Management training; Communication skills training; Sales training>explanatory>I am interested in Communication skills training.
MULTI-SELECT>What types of training programs are you interested in?>Technical skills training; Leadership training; Management training; Communication skills training; Sales training>annoyed>I am interested in communication skills training.
MULTI-SELECT>What types of waste are generated by your operations?>Solid waste; Hazardous waste; Liquid waste; Gaseous emissions; Recyclable materials>verbose>Solid waste is generated by your operations. Liquid waste is generated by your operations. Hazardous waste is generated by your operations. Recyclable materials are generated by your operations.
MULTI-SELECT>What types of waste are generated by your operations?>Solid waste; Hazardous waste; Liquid waste; Gaseous emissions; Recyclable materials>concise>Solid waste is generated by your operations. Liquid waste is generated by your operations. Recyclable materials are generated by your operations.
MULTI-SELECT>What types of waste are generated by your operations?>Solid waste; Hazardous waste; Liquid waste; Gaseous emissions; Recyclable materials>colloquial>Solid waste is generated by your operations. Liquid waste is generated by your operations. Hazardous waste is generated by your operations. Recyclable materials are generated by your operations.
MULTI-SELECT>What types of waste are generated by your operations?>Solid waste; Hazardous waste; Liquid waste; Gaseous emissions; Recyclable materials>explanatory>Solid waste is generated by your operations. Recyclable materials are generated by your operations.
MULTI-SELECT>What types of waste are generated by your operations?>Solid waste; Hazardous waste; Liquid waste; Gaseous emissions; Recyclable materials>annoyed>Solid waste is the most common type of waste. Liquid waste is the most common type of waste. Recyclable materials are the most common type of waste.
MULTI-SELECT>What version control systems have you used?>Git; SVN; Mercurial>verbose>SVN.
MULTI-SELECT>What version control systems have you used?>Git; SVN; Mercurial>concise>SVN.
MULTI-SELECT>What version control systems have you used?>Git; SVN; Mercurial>colloquial>SVN.
MULTI-SELECT>What version control systems have you used?>Git; SVN; Mercurial>explanatory>SVN.
MULTI-SELECT>What version control systems have you used?>Git; SVN; Mercurial>annoyed>SVN.
MULTI-SELECT>Which marketing channels are you currently using?>Social Media Marketing; Email Marketing; Search Engine Optimization (SEO); Pay-Per-Click (PPC) Advertising; Content Marketing; Affiliate Marketing>verbose>Social Media Marketing.
MULTI-SELECT>Which marketing channels are you currently using?>Social Media Marketing; Email Marketing; Search Engine Optimization (SEO); Pay-Per-Click (PPC) Advertising; Content Marketing; Affiliate Marketing>concise>Affiliate Marketing.
