MULTI-SELECT>What types of industrial automation systems do you use?>Programmable Logic Controllers (PLCs); Supervisory Control and Data Acquisition (SCADA); Distributed Control Systems (DCS); Human-Machine Interfaces (HMIs); Industrial Ethernet>PLCs, SCADA, DCS, and HMIs.>PLCs, SCADA, DCS, HMIs>concise
MULTI-SELECT>What types of industrial automation systems do you use?>Programmable Logic Controllers (PLCs); Supervisory Control and Data Acquisition (SCADA); Distributed Control Systems (DCS); Human-Machine Interfaces (HMIs); Industrial Ethernet>We use PLCs,  SCADA, and Industrial Ethernet – that's the nuts and bolts of it.>PLCs, SCADA, Industrial Ethernet>colloquial
MULTI-SELECT>What types of industrial automation systems do you use?>Programmable Logic Controllers (PLCs); Supervisory Control and Data Acquisition (SCADA); Distributed Control Systems (DCS); Human-Machine Interfaces (HMIs); Industrial Ethernet>Our automation relies heavily on Programmable Logic Controllers (PLCs) for process control at the machine level.  These are then integrated with a Supervisory Control and Data Acquisition (SCADA) system for higher-level monitoring and control, and all are visualized via Human-Machine Interfaces (HMIs).>PLCs, SCADA, HMIs>explanatory
MULTI-SELECT>What types of industrial automation systems do you use?>Programmable Logic Controllers (PLCs); Supervisory Control and Data Acquisition (SCADA); Distributed Control Systems (DCS); Human-Machine Interfaces (HMIs); Industrial Ethernet>We use PLCs, of course.  And SCADA.  What else did you expect?>PLCs, SCADA>annoyed
MULTI-SELECT>What types of industrial robots are used in your operations?>Articulated robots; Cartesian robots; SCARA robots; Delta robots; Collaborative robots (cobots)>We utilize a variety of robots in our operations, primarily articulated robots for their versatility in handling complex tasks, and SCARA robots for their speed and precision in assembly processes.  We also employ a smaller number of collaborative robots for specific human-robot interaction applications.>Articulated robots, SCARA robots, Collaborative robots (cobots)>verbose
MULTI-SELECT>What types of industrial robots are used in your operations?>Articulated robots; Cartesian robots; SCARA robots; Delta robots; Collaborative robots (cobots)>Articulated, SCARA, and Delta robots.>Articulated robots, SCARA robots, Delta robots>concise
MULTI-SELECT>What types of industrial robots are used in your operations?>Articulated robots; Cartesian robots; SCARA robots; Delta robots; Collaborative robots (cobots)>We got articulated arms everywhere, plus a few SCARA robots for the fiddly bits.  And yeah, some cobots too.>Articulated robots, SCARA robots, Collaborative robots (cobots)>colloquial
MULTI-SELECT>What types of industrial robots are used in your operations?>Articulated robots; Cartesian robots; SCARA robots; Delta robots; Collaborative robots (cobots)>Our facility uses articulated robots for their wide range of motion and payload capacity, which are suited to many of our manufacturing processes.  Cartesian robots are also employed for specific pick-and-place operations requiring precise linear movement.  Finally, we use cobots in areas where human-robot collaboration is beneficial.>Articulated robots, Cartesian robots, Collaborative robots (cobots)>explanatory
MULTI-SELECT>What types of industrial robots are used in your operations?>Articulated robots; Cartesian robots; SCARA robots; Delta robots; Collaborative robots (cobots)>We use articulated, Cartesian, and delta robots.  It's a complex system.  Just ask if you need specifics.>Articulated robots, Cartesian robots, Delta robots>annoyed
MULTI-SELECT>What types of information are most important to include in your sales proposals?>Product features and benefits; Pricing and payment terms; Case studies and testimonials; Client success stories; Service level agreements (SLAs)>A compelling sales proposal needs to clearly outline the product's features and benefits, demonstrating how they solve the client's problems.  Including pricing and payment terms ensures transparency, and showcasing client success stories builds trust and credibility. Case studies provide concrete examples of positive outcomes.>Product features and benefits, Pricing and payment terms, Client success stories, Case studies and testimonials>verbose
MULTI-SELECT>What types of information are most important to include in your sales proposals?>Product features and benefits; Pricing and payment terms; Case studies and testimonials; Client success stories; Service level agreements (SLAs)>Product features and benefits, pricing, and client success stories are crucial.>Product features and benefits, Pricing and payment terms, Client success stories>concise
MULTI-SELECT>What types of information are most important to include in your sales proposals?>Product features and benefits; Pricing and payment terms; Case studies and testimonials; Client success stories; Service level agreements (SLAs)>Dude, you gotta show 'em what your stuff does (features and benefits!), how much it costs (pricing), and how awesome it's been for others (client success stories).  That's the winning combo.>Product features and benefits, Pricing and payment terms, Client success stories>colloquial
MULTI-SELECT>What types of information are most important to include in your sales proposals?>Product features and benefits; Pricing and payment terms; Case studies and testimonials; Client success stories; Service level agreements (SLAs)>To effectively persuade a potential client, a proposal must detail the product's capabilities and their resulting advantages.  Financial information, such as pricing and payment terms, is essential for transparency.  Finally, demonstrating success through case studies and testimonials builds confidence in your offering.>Product features and benefits, Pricing and payment terms, Case studies and testimonials>explanatory
MULTI-SELECT>What types of information are most important to include in your sales proposals?>Product features and benefits; Pricing and payment terms; Case studies and testimonials; Client success stories; Service level agreements (SLAs)>Seriously, it's not rocket science.  You need to show them the value proposition (features and benefits) and how it's going to cost them (pricing).  Testimonials help too.>Product features and benefits, Pricing and payment terms, Case studies and testimonials>annoyed
MULTI-SELECT>What types of maintenance strategies do you employ?>Preventive maintenance; Predictive maintenance; Corrective maintenance; Condition-based maintenance; Total productive maintenance (TPM)>We utilize a comprehensive maintenance approach encompassing preventive measures to avoid issues, predictive analysis to anticipate failures, and corrective actions when necessary.  This strategy ensures optimal equipment uptime and minimizes unexpected downtime.  We also incorporate condition-based maintenance for added efficiency.>Preventive maintenance, Predictive maintenance, Corrective maintenance, Condition-based maintenance>verbose
MULTI-SELECT>What types of maintenance strategies do you employ?>Preventive maintenance; Predictive maintenance; Corrective maintenance; Condition-based maintenance; Total productive maintenance (TPM)>Preventive, predictive, and corrective maintenance.>Preventive maintenance, Predictive maintenance, Corrective maintenance>concise
MULTI-SELECT>What types of maintenance strategies do you employ?>Preventive maintenance; Predictive maintenance; Corrective maintenance; Condition-based maintenance; Total productive maintenance (TPM)>We do it all, man!  Preventative stuff, predicting problems before they hit, fixing things when they break – the whole shebang!>Preventive maintenance, Predictive maintenance, Corrective maintenance>colloquial
MULTI-SELECT>What types of maintenance strategies do you employ?>Preventive maintenance; Predictive maintenance; Corrective maintenance; Condition-based maintenance; Total productive maintenance (TPM)>Our maintenance strategy is multi-faceted. We perform routine preventive maintenance to extend equipment lifespan.  Predictive maintenance, using data analysis, helps us proactively address potential failures before they occur.  Corrective maintenance addresses breakdowns as they happen.>Preventive maintenance, Predictive maintenance, Corrective maintenance>explanatory
MULTI-SELECT>What types of maintenance strategies do you employ?>Preventive maintenance; Predictive maintenance; Corrective maintenance; Condition-based maintenance; Total productive maintenance (TPM)>We use a combination of methods – preventative, predictive, and sometimes, of course, we have to do corrective maintenance when things go wrong. It's not always straightforward.>Preventive maintenance, Predictive maintenance, Corrective maintenance>annoyed
MULTI-SELECT>What types of marketing channels does your company use?>Digital marketing; Social media marketing; Email marketing; Content marketing; Traditional marketing>We utilize a multi-channel approach, encompassing digital marketing strategies across various platforms, including social media and email marketing.  Content marketing plays a key role in attracting and engaging our audience. We also leverage traditional marketing methods for wider reach.>Digital marketing, Social media marketing, Email marketing, Content marketing, Traditional marketing>verbose
MULTI-SELECT>What types of marketing channels does your company use?>Digital marketing; Social media marketing; Email marketing; Content marketing; Traditional marketing>Digital, social media, email, and content marketing.>Digital marketing, Social media marketing, Email marketing, Content marketing>concise
MULTI-SELECT>What types of marketing channels does your company use?>Digital marketing; Social media marketing; Email marketing; Content marketing; Traditional marketing>We're all over the place, man!  Social media, email blasts, the whole shebang.  Plus, some old-school stuff too.>Social media marketing, Email marketing, Traditional marketing>colloquial
MULTI-SELECT>What types of marketing channels does your company use?>Digital marketing; Social media marketing; Email marketing; Content marketing; Traditional marketing>Our marketing strategy is primarily digital, focusing on SEO and SEM within the broader digital marketing umbrella. We also use social media and email marketing to nurture leads and build brand awareness.  Content marketing is essential for thought leadership.>Digital marketing, Social media marketing, Email marketing, Content marketing>explanatory
MULTI-SELECT>What types of marketing channels does your company use?>Digital marketing; Social media marketing; Email marketing; Content marketing; Traditional marketing>We use a mix of methods.  It's complicated.  We do digital, social media, and email, among other things.>Digital marketing, Social media marketing, Email marketing>annoyed
MULTI-SELECT>What types of marketing content do you find most effective?>Blog posts; Videos; Infographics; Case studies; Email newsletters; Social media posts>I find that a combination of video marketing and blog posts works best for me. Videos are great for capturing attention quickly, while blog posts allow for more in-depth explanations and SEO benefits.  Together they create a strong marketing strategy.>Blog posts, Videos>verbose
MULTI-SELECT>What types of marketing content do you find most effective?>Blog posts; Videos; Infographics; Case studies; Email newsletters; Social media posts>Videos and case studies are most impactful.>Videos, Case studies>concise
MULTI-SELECT>What types of marketing content do you find most effective?>Blog posts; Videos; Infographics; Case studies; Email newsletters; Social media posts>Gotta say, videos grab me the most. But infographics are pretty sweet too, if they're done right.>Videos, Infographics>colloquial
MULTI-SELECT>What types of marketing content do you find most effective?>Blog posts; Videos; Infographics; Case studies; Email newsletters; Social media posts>For me, email newsletters are the most effective because they allow for direct communication with a targeted audience. This personalized approach fosters engagement and drives conversions more effectively than other methods.  Building an email list is key.>Email newsletters>explanatory
MULTI-SELECT>What types of marketing content do you find most effective?>Blog posts; Videos; Infographics; Case studies; Email newsletters; Social media posts>It depends on the audience, but I've seen the best results with case studies and social media posts, if done properly.  People seem to like real-world examples.>Case studies, Social media posts>annoyed
MULTI-SELECT>What types of projects are you interested in?>Web development; Mobile app development; Data science; Machine learning; Artificial intelligence; Game development; Software engineering>I'm particularly drawn to projects involving machine learning and artificial intelligence, as I find the challenges and potential applications incredibly fascinating.  I also enjoy the creative process of game development.  These areas offer a blend of complex problem-solving and innovative design.>Machine learning, Artificial intelligence, Game development>verbose
MULTI-SELECT>What types of projects are you interested in?>Web development; Mobile app development; Data science; Machine learning; Artificial intelligence; Game development; Software engineering>Web development and data science.>Web development, Data science>concise
MULTI-SELECT>What types of projects are you interested in?>Web development; Mobile app development; Data science; Machine learning; Artificial intelligence; Game development; Software engineering>I'm all about mobile apps, dude!  Maybe some AI stuff too, that sounds cool.>Mobile app development, Artificial intelligence>colloquial
MULTI-SELECT>What types of projects are you interested in?>Web development; Mobile app development; Data science; Machine learning; Artificial intelligence; Game development; Software engineering>My primary interest lies in software engineering, encompassing the full lifecycle of development. This broad field allows me to engage with various aspects of project creation, from design to deployment.  Data science also appeals to me due to its problem-solving nature.>Software engineering, Data science>explanatory
MULTI-SELECT>What types of projects are you interested in?>Web development; Mobile app development; Data science; Machine learning; Artificial intelligence; Game development; Software engineering>I'd prefer to work on something challenging, like artificial intelligence or maybe machine learning.  Web development is fine too, I guess.>Artificial intelligence, Machine learning, Web development>annoyed
MULTI-SELECT>What types of quality certifications do you hold?>ISO 9001; ISO 14001; OHSAS 18001; ISO 27001; Industry-specific certifications>We maintain a robust quality management system, certified to ISO 9001 and ISO 14001 standards.  These demonstrate our commitment to quality products and environmental responsibility. We also hold several industry-specific certifications relevant to our field.>ISO 9001, ISO 14001, Industry-specific certifications>verbose
MULTI-SELECT>What types of quality certifications do you hold?>ISO 9001; ISO 14001; OHSAS 18001; ISO 27001; Industry-specific certifications>ISO 9001, ISO 27001.>ISO 9001, ISO 27001>concise
MULTI-SELECT>What types of quality certifications do you hold?>ISO 9001; ISO 14001; OHSAS 18001; ISO 27001; Industry-specific certifications>We've got the ISO 9001,  and a bunch of other industry-specific ones that are really important for what we do.>ISO 9001, Industry-specific certifications>colloquial
MULTI-SELECT>What types of quality certifications do you hold?>ISO 9001; ISO 14001; OHSAS 18001; ISO 27001; Industry-specific certifications>Our organization is certified to ISO 9001 for quality management and OHSAS 18001 for occupational health and safety.  These certifications are regularly audited to ensure ongoing compliance.  This demonstrates our dedication to safety and quality.>ISO 9001, OHSAS 18001>explanatory
MULTI-SELECT>What types of quality certifications do you hold?>ISO 9001; ISO 14001; OHSAS 18001; ISO 27001; Industry-specific certifications>We have ISO 14001, is that not enough for you?  We also have a few industry-specific ones.>ISO 14001, Industry-specific certifications>annoyed
MULTI-SELECT>What types of quality control measures do you employ?>Regular inspections; Testing; Statistical process control (SPC); ISO 9001 certification; Six Sigma methodology>We utilize a comprehensive approach to quality control, incorporating regular inspections and statistical process control (SPC) to ensure consistent product quality.  Our commitment extends to maintaining ISO 9001 certification.>Regular inspections, Statistical process control (SPC), ISO 9001 certification>verbose
MULTI-SELECT>What types of quality control measures do you employ?>Regular inspections; Testing; Statistical process control (SPC); ISO 9001 certification; Six Sigma methodology>Regular inspections, testing, and SPC are key.>Regular inspections, Testing, Statistical process control (SPC)>concise
MULTI-SELECT>What types of quality control measures do you employ?>Regular inspections; Testing; Statistical process control (SPC); ISO 9001 certification; Six Sigma methodology>We do regular checks,  test stuff out, and use that fancy SPC thing.  We're also ISO 9001 certified, so there's that.>Regular inspections, Testing, Statistical process control (SPC), ISO 9001 certification>colloquial
MULTI-SELECT>What types of quality control measures do you employ?>Regular inspections; Testing; Statistical process control (SPC); ISO 9001 certification; Six Sigma methodology>To maintain high quality, we employ several methods.  These include regular inspections of our processes and products,  as well as the use of statistical process control (SPC) for continuous improvement.  Testing is also a crucial component.>Regular inspections, Testing, Statistical process control (SPC)>explanatory
MULTI-SELECT>What types of quality control measures do you employ?>Regular inspections; Testing; Statistical process control (SPC); ISO 9001 certification; Six Sigma methodology>We use a variety of methods, including regular inspections, testing, and SPC.  It's not like we just let anything slide.  What else did you want to know?>Regular inspections, Testing, Statistical process control (SPC)>annoyed
MULTI-SELECT>What types of research and development activities are you undertaking?>Process improvement; New product development; Sustainability initiatives; Automation technology; Materials science>We're heavily focused on new product development, incorporating sustainability initiatives into our designs.  Process improvement is also a key area for us, constantly looking for ways to streamline our operations.>New product development, Sustainability initiatives, Process improvement>verbose
MULTI-SELECT>What types of research and development activities are you undertaking?>Process improvement; New product development; Sustainability initiatives; Automation technology; Materials science>New product development and process improvement are our main R&D focuses.>New product development, Process improvement>concise
MULTI-SELECT>What types of research and development activities are you undertaking?>Process improvement; New product development; Sustainability initiatives; Automation technology; Materials science>We're all about new products, dude, and making things better, you know?  Plus, we're trying to be more eco-friendly.>New product development, Process improvement, Sustainability initiatives>colloquial
MULTI-SELECT>What types of research and development activities are you undertaking?>Process improvement; New product development; Sustainability initiatives; Automation technology; Materials science>Our research and development efforts are currently concentrated on improving existing processes and developing new products.  We are also exploring the use of automation technology to enhance efficiency.>Process improvement, New product development, Automation technology>explanatory
MULTI-SELECT>What types of research and development activities are you undertaking?>Process improvement; New product development; Sustainability initiatives; Automation technology; Materials science>We're working on new products, improving processes, and looking at sustainability.  It's a lot to juggle.>New product development, Process improvement, Sustainability initiatives>annoyed
MULTI-SELECT>What types of research and development activities does your company undertake?>Basic research; Applied research; Development; Innovation; Technology transfer>We conduct a wide range of R&D activities, encompassing basic research to explore fundamental scientific principles, applied research to address specific problems, and development to create new products and processes.  Technology transfer ensures our discoveries benefit others.>Basic research, Applied research, Development, Technology transfer>verbose
MULTI-SELECT>What types of research and development activities does your company undertake?>Basic research; Applied research; Development; Innovation; Technology transfer>Applied research, development, and innovation.>Applied research, Development, Innovation>concise
MULTI-SELECT>What types of research and development activities does your company undertake?>Basic research; Applied research; Development; Innovation; Technology transfer>We do it all, man!  Basic stuff, applied stuff,  making new things, and even sharing the cool tech we come up with.>Basic research, Applied research, Development, Technology transfer>colloquial
MULTI-SELECT>What types of research and development activities does your company undertake?>Basic research; Applied research; Development; Innovation; Technology transfer>Our R&D efforts focus on applied research to solve industry challenges, followed by development to translate research findings into practical applications.  This includes innovation throughout the process and technology transfer to external partners.>Applied research, Development, Innovation, Technology transfer>explanatory
MULTI-SELECT>What types of research and development activities does your company undertake?>Basic research; Applied research; Development; Innovation; Technology transfer>We're involved in basic, applied research, development, and yes, even innovation.  It's a lot of work.>Basic research, Applied research, Development, Innovation>annoyed
MULTI-SELECT>What types of sales reports are most valuable to your team?>Sales pipeline reports; Lead conversion reports; Sales forecast reports; Sales performance reports; Customer segmentation reports>For effective sales management, we rely heavily on sales pipeline reports to track progress, sales performance reports to identify top performers and areas for improvement, and sales forecast reports to plan for future targets.  These three provide a comprehensive view of our sales activities.>Sales pipeline reports, Sales performance reports, Sales forecast reports>verbose
MULTI-SELECT>What types of sales reports are most valuable to your team?>Sales pipeline reports; Lead conversion reports; Sales forecast reports; Sales performance reports; Customer segmentation reports>Sales pipeline, performance, and forecast reports are crucial.>Sales pipeline reports, Sales performance reports, Sales forecast reports>concise
MULTI-SELECT>What types of sales reports are most valuable to your team?>Sales pipeline reports; Lead conversion reports; Sales forecast reports; Sales performance reports; Customer segmentation reports>Dude, gotta have the pipeline report to see what's cookin', the performance report to see who's killin' it, and the forecast to know where we're headed.>Sales pipeline reports, Sales performance reports, Sales forecast reports>colloquial
MULTI-SELECT>What types of sales reports are most valuable to your team?>Sales pipeline reports; Lead conversion reports; Sales forecast reports; Sales performance reports; Customer segmentation reports>Understanding our sales process requires analyzing the sales pipeline report and lead conversion report.  To predict future revenue, we need sales forecast reports.  Finally, sales performance reports help us identify strengths and weaknesses.>Sales pipeline reports, Lead conversion reports, Sales forecast reports, Sales performance reports>explanatory
MULTI-SELECT>What types of sales reports are most valuable to your team?>Sales pipeline reports; Lead conversion reports; Sales forecast reports; Sales performance reports; Customer segmentation reports>Honestly, we need all of them except for that customer segmentation stuff. We're already doing great at targeting our main customer base.  Just give us pipeline, performance, forecasts and lead conversions, that's enough to deal with.>Sales pipeline reports, Lead conversion reports, Sales performance reports, Sales forecast reports>annoyed
MULTI-SELECT>What types of sales tools and technologies does your team currently use?>CRM software; Sales automation tools; Sales intelligence platforms; Proposal software; Communication and collaboration tools>We leverage a comprehensive suite of sales tools, including CRM software for contact management and sales automation tools to streamline our processes.  We also utilize sales intelligence platforms to gain valuable market insights.>CRM software, Sales automation tools, Sales intelligence platforms>verbose
MULTI-SELECT>What types of sales tools and technologies does your team currently use?>CRM software; Sales automation tools; Sales intelligence platforms; Proposal software; Communication and collaboration tools>CRM software, sales automation, and communication tools.>CRM software, Sales automation tools, Communication and collaboration tools>concise
MULTI-SELECT>What types of sales tools and technologies does your team currently use?>CRM software; Sales automation tools; Sales intelligence platforms; Proposal software; Communication and collaboration tools>We're all over the place with our tech! CRM is a must, and we use a bunch of automation stuff.  Plus, we gotta keep in touch somehow, so yeah, communication tools are big.>CRM software, Sales automation tools, Communication and collaboration tools>colloquial
MULTI-SELECT>What types of sales tools and technologies does your team currently use?>CRM software; Sales automation tools; Sales intelligence platforms; Proposal software; Communication and collaboration tools>Our team relies heavily on CRM software for managing customer interactions and tracking sales progress.  We also employ proposal software to create professional, consistent proposals for clients.  Effective communication is facilitated through our chosen collaboration tools.>CRM software, Proposal software, Communication and collaboration tools>explanatory
MULTI-SELECT>What types of sales tools and technologies does your team currently use?>CRM software; Sales automation tools; Sales intelligence platforms; Proposal software; Communication and collaboration tools>We use a CRM, obviously.  And some automation tools to make things less manual. That's about it.>CRM software, Sales automation tools>annoyed
MULTI-SELECT>What types of sales training do your sales reps need?>Product knowledge training; Sales techniques training; Customer relationship management (CRM) training; Negotiation skills training; Closing skills training>Our sales reps definitely need training in product knowledge and sales techniques.  A solid understanding of our offerings is crucial, and effective sales techniques will help them convert leads.  Adding negotiation skills training would also be beneficial.>Product knowledge training, Sales techniques training, Negotiation skills training>verbose
MULTI-SELECT>What types of sales training do your sales reps need?>Product knowledge training; Sales techniques training; Customer relationship management (CRM) training; Negotiation skills training; Closing skills training>Product knowledge, sales techniques, and CRM training are essential.>Product knowledge training, Sales techniques training, CRM training>concise
MULTI-SELECT>What types of sales training do your sales reps need?>Product knowledge training; Sales techniques training; Customer relationship management (CRM) training; Negotiation skills training; Closing skills training>Yo, they need to know the stuff we sell, how to actually sell it, and how to use that CRM thingamajig.>Product knowledge training, Sales techniques training, CRM training>colloquial
MULTI-SELECT>What types of sales training do your sales reps need?>Product knowledge training; Sales techniques training; Customer relationship management (CRM) training; Negotiation skills training; Closing skills training>To maximize sales performance, our representatives require training in product knowledge to accurately address customer needs.  Furthermore, honing their sales techniques and negotiation skills will improve closing rates.  CRM training is also vital for efficient lead management.>Product knowledge training, Sales techniques training, Negotiation skills training, CRM training>explanatory
MULTI-SELECT>What types of sales training do your sales reps need?>Product knowledge training; Sales techniques training; Customer relationship management (CRM) training; Negotiation skills training; Closing skills training>They need it all!  Product knowledge is a given, but they're weak on closing, sales techniques in general, and CRM use.>Product knowledge training, Closing skills training, Sales techniques training, CRM training>annoyed
MULTI-SELECT>What types of software architectures are you familiar with?>Microservices; Monolithic; Layered; Event-driven>I'm familiar with microservices, monolithic, and layered architectures.  These represent different approaches to structuring software applications, each with its own advantages and disadvantages.  My knowledge encompasses the design principles and trade-offs involved in each.>Microservices, Monolithic, Layered>verbose
MULTI-SELECT>What types of software architectures are you familiar with?>Microservices; Monolithic; Layered; Event-driven>Microservices, Monolithic, Layered, and Event-driven.>Microservices, Monolithic, Layered, Event-driven>concise
MULTI-SELECT>What types of software architectures are you familiar with?>Microservices; Monolithic; Layered; Event-driven>I know about all of 'em: microservices, monoliths, layered stuff, and even event-driven architectures!>Microservices, Monolithic, Layered, Event-driven>colloquial
MULTI-SELECT>What types of software architectures are you familiar with?>Microservices; Monolithic; Layered; Event-driven>I have experience with several software architectures.  These include microservices, which are independently deployable services; monolithic architectures, which are single-unit applications; and layered architectures, which organize code into distinct layers.>Microservices, Monolithic, Layered>explanatory
MULTI-SELECT>What types of software architectures are you familiar with?>Microservices; Monolithic; Layered; Event-driven>I know microservices and monolithic architectures.  Is that enough for you?  What else do you need?>Microservices, Monolithic>annoyed
MULTI-SELECT>What types of software development environments have you worked in?>Agile; Waterfall; DevOps; Continuous integration/continuous delivery (CI/CD)>I've primarily worked in Agile environments, utilizing CI/CD pipelines for continuous improvement.  DevOps principles are integrated into our processes to enhance collaboration and efficiency.>Agile, CI/CD, DevOps>verbose
MULTI-SELECT>What types of software development environments have you worked in?>Agile; Waterfall; DevOps; Continuous integration/continuous delivery (CI/CD)>Agile and DevOps.>Agile, DevOps>concise
MULTI-SELECT>What types of software development environments have you worked in?>Agile; Waterfall; DevOps; Continuous integration/continuous delivery (CI/CD)>Mostly Agile, sometimes a bit of Waterfall mixed in, ya know?  We're trying to get more into DevOps.>Agile, Waterfall, DevOps>colloquial
MULTI-SELECT>What types of software development environments have you worked in?>Agile; Waterfall; DevOps; Continuous integration/continuous delivery (CI/CD)>My experience encompasses Agile methodologies, where iterative development is prioritized.  I've also worked in environments incorporating CI/CD for automated testing and deployment.  This often overlaps with DevOps practices.>Agile, CI/CD, DevOps>explanatory
MULTI-SELECT>What types of software development environments have you worked in?>Agile; Waterfall; DevOps; Continuous integration/continuous delivery (CI/CD)>I've used Agile, and we're supposed to be doing more CI/CD, but it's not always happening.>Agile, CI/CD>annoyed
MULTI-SELECT>What types of software development methodologies have you experienced?>Agile; Waterfall; Lean; Kanban; Scrum>I've worked extensively with Agile methodologies, specifically Scrum, finding its iterative approach very effective.  I've also had some exposure to Waterfall in legacy projects, highlighting the differences between the two approaches.  Kanban has been used in smaller tasks for better workflow management.>Agile, Scrum, Waterfall, Kanban>verbose
MULTI-SELECT>What types of software development methodologies have you experienced?>Agile; Waterfall; Lean; Kanban; Scrum>Agile, Scrum, and Kanban.>Agile, Scrum, Kanban>concise
MULTI-SELECT>What types of software development methodologies have you experienced?>Agile; Waterfall; Lean; Kanban; Scrum>Yeah, mostly Agile stuff, like Scrum.  A bit of Waterfall back in the day, but that's old school.>Agile, Scrum, Waterfall>colloquial
MULTI-SELECT>What types of software development methodologies have you experienced?>Agile; Waterfall; Lean; Kanban; Scrum>My experience encompasses several methodologies.  Agile, with its emphasis on iterative development and collaboration, has been the dominant approach. I've also used Lean principles to streamline processes within Agile frameworks.>Agile, Lean>explanatory
MULTI-SELECT>What types of software development methodologies have you experienced?>Agile; Waterfall; Lean; Kanban; Scrum>I've used Agile, Scrum, and a little bit of Kanban.  That's pretty much it.  What else is there?>Agile, Scrum, Kanban>annoyed
MULTI-SELECT>What types of software development projects have you worked on?>Web applications; Mobile applications; Desktop applications; Embedded systems; Data science projects>I've primarily focused on web application development, building several e-commerce platforms and internal tools.  I also have experience with smaller-scale mobile application projects, mainly focusing on Android. My experience extends to some data science projects involving data analysis and visualization.>Web applications, Mobile applications, Data science projects>verbose
MULTI-SELECT>What types of software development projects have you worked on?>Web applications; Mobile applications; Desktop applications; Embedded systems; Data science projects>Web, mobile, and data science projects.>Web applications, Mobile applications, Data science projects>concise
MULTI-SELECT>What types of software development projects have you worked on?>Web applications; Mobile applications; Desktop applications; Embedded systems; Data science projects>Mostly websites, but I've dabbled in some phone apps and did a bit of data stuff once.>Web applications, Mobile applications, Data science projects>colloquial
MULTI-SELECT>What types of software development projects have you worked on?>Web applications; Mobile applications; Desktop applications; Embedded systems; Data science projects>My professional experience centers around the development of web applications, encompassing various aspects from front-end to back-end development.  I have also contributed to several data science projects, leveraging my programming skills to analyze and visualize large datasets.  Recently, I've started exploring desktop application development.>Web applications, Data science projects, Desktop applications>explanatory
MULTI-SELECT>What types of software development projects have you worked on?>Web applications; Mobile applications; Desktop applications; Embedded systems; Data science projects>I've done web apps, and some desktop stuff.  I've also worked on a few data analysis projects, which were… tedious.>Web applications, Desktop applications, Data science projects>annoyed
MULTI-SELECT>What types of software development tools have you used?>Integrated Development Environments (IDEs); Source code management tools; Build tools; Testing frameworks; Debugging tools>I've extensively used Integrated Development Environments (IDEs) like VS Code and IntelliJ for coding, and I'm also proficient with Git for source code management.  I regularly utilize build tools like Maven and Gradle for project management.>Integrated Development Environments (IDEs), Source code management tools, Build tools>verbose
MULTI-SELECT>What types of software development tools have you used?>Integrated Development Environments (IDEs); Source code management tools; Build tools; Testing frameworks; Debugging tools>IDEs, Git, and Maven.>Integrated Development Environments (IDEs), Source code management tools, Build tools>concise
MULTI-SELECT>What types of software development tools have you used?>Integrated Development Environments (IDEs); Source code management tools; Build tools; Testing frameworks; Debugging tools>Yeah, I've messed around with IDEs, mostly.  And gotta use Git, right?  Plus, some build tools here and there.>Integrated Development Environments (IDEs), Source code management tools, Build tools>colloquial
MULTI-SELECT>What types of software development tools have you used?>Integrated Development Environments (IDEs); Source code management tools; Build tools; Testing frameworks; Debugging tools>My experience encompasses a range of software development tools.  This includes using IDEs for coding and debugging, Git for version control, and various build tools depending on the project requirements.  Testing frameworks are another crucial part of my workflow.>Integrated Development Environments (IDEs), Source code management tools, Build tools, Testing frameworks>explanatory
MULTI-SELECT>What types of software development tools have you used?>Integrated Development Environments (IDEs); Source code management tools; Build tools; Testing frameworks; Debugging tools>I've worked with IDEs, obviously.  And source control is essential;  I use Git.  That's about it for tools I regularly use.>Integrated Development Environments (IDEs), Source code management tools>annoyed
MULTI-SELECT>What types of software do you use for production planning and scheduling?>SAP PP; Oracle Production Planning; Microsoft Dynamics 365 for Finance and Operations; Infor LN; Epicor ERP>We utilize a combination of SAP PP and Oracle Production Planning for our production planning and scheduling needs.  SAP PP handles the detailed scheduling while Oracle Production Planning provides high-level capacity planning. This dual approach allows for both granular control and strategic overview.>SAP PP, Oracle Production Planning>verbose
MULTI-SELECT>What types of software do you use for production planning and scheduling?>SAP PP; Oracle Production Planning; Microsoft Dynamics 365 for Finance and Operations; Infor LN; Epicor ERP>SAP PP and Infor LN.>SAP PP, Infor LN>concise
MULTI-SELECT>What types of software do you use for production planning and scheduling?>SAP PP; Oracle Production Planning; Microsoft Dynamics 365 for Finance and Operations; Infor LN; Epicor ERP>We're all about SAP PP, that's our go-to!  It just works for us.>SAP PP>colloquial
MULTI-SELECT>What types of software do you use for production planning and scheduling?>SAP PP; Oracle Production Planning; Microsoft Dynamics 365 for Finance and Operations; Infor LN; Epicor ERP>For our production planning and scheduling, we've found Microsoft Dynamics 365 for Finance and Operations to be the most effective solution.  Its integrated nature streamlines our processes and provides valuable insights into our production capacity.  The system's reporting capabilities are particularly useful.>Microsoft Dynamics 365 for Finance and Operations>explanatory
MULTI-SELECT>What types of software do you use for production planning and scheduling?>SAP PP; Oracle Production Planning; Microsoft Dynamics 365 for Finance and Operations; Infor LN; Epicor ERP>We use Epicor ERP.  It's what we have, and it does the job.>Epicor ERP>annoyed
